,RELAP Time (hr),RELAP First Component (mg/L),RELAP Second Component (mg/L),RELAP Combined (mg/L)
72,18.757523587174347,0.11143422883371655,0.18338087257776595,0.2948151014114825
73,19.018044609218435,0.10707221812413036,0.18231905487694253,0.28939127300107287
74,19.278565631262524,0.10285920858484492,0.18120631115068142,0.28406551973552635
75,19.53908665330661,0.09879236908223374,0.18004676460478392,0.2788391336870176
76,19.7996076753507,0.09486865889590759,0.17884430558839895,0.27371296448430654
77,20.060128697394788,0.0910848663673912,0.177602603376014,0.2686874697434052
78,20.320649719438876,0.08743764187238254,0.17632511644658244,0.263762758318965
79,20.581170741482964,0.08392353514806696,0.1750151028980234,0.25893863804609035
80,20.841691763527052,0.08053901523850267,0.17367563061621571,0.25421464585471837
81,21.10221278557114,0.07728049887469195,0.17230958717095235,0.2495900860456443
82,21.36273380761523,0.07414437376334283,0.17091968814937603,0.24506406191271884
83,21.623254829659317,0.07112701218944589,0.16950848845154692,0.24063550064099282
84,21.883775851703405,0.0682247906741441,0.1680783873382287,0.23630317801237277
85,22.144296873747493,0.06543410217331999,0.16663163927674424,0.23206574145006423
86,22.40481789579158,0.06275137280724039,0.16517036107670954,0.22792173388394993
87,22.66533891783567,0.06017306135068633,0.1636965392070284,0.2238696005577147
88,22.925859939879757,0.057695682705778545,0.1622120361538081,0.21990771885958665
89,23.186380961923845,0.05531580595184251,0.16071859914614553,0.21603440509798805
90,23.446901983967933,0.053030061565542595,0.15921786432972815,0.21224792589527075
91,23.70742300601202,0.050835145726898054,0.15771136386585646,0.2085465095927545
92,23.96794402805611,0.04872783385132447,0.15620053233869013,0.2049283661900146
93,24.228465050100198,0.046704970884639596,0.15468671095523534,0.20139168183987494
94,24.488986072144286,0.04476348204156853,0.1531711536439877,0.19793463568555622
95,24.749507094188374,0.042900371772568606,0.15165503146141984,0.19455540323398846
96,25.010028116232466,0.04111273046704007,0.150139438130779,0.19125216859781907
97,25.270549138276554,0.03939772238338192,0.14862539298356958,0.1880231153669515
98,25.531070160320642,0.03775260357034823,0.14711384704328212,0.18486645061363036
99,25.79159118236473,0.036174709736981045,0.14560568455923192,0.18178039429621295
100,26.052112204408818,0.03466145863636972,0.14410172971896687,0.17876318835533658
101,26.312633226452906,0.033210350493565494,0.14260274700161243,0.17581309749517793
102,26.573154248496994,0.03181896860311676,0.1411094474703955,0.17292841607351225
103,26.833675270541082,0.030484972347747535,0.13962248984300454,0.17010746219075207
104,27.09419629258517,0.029206107284578495,0.13814248462159595,0.16734859190617446
105,27.35471731462926,0.02798018943287103,0.13666999611305575,0.16465018554592678
106,27.615238336673347,0.026805114563198684,0.13520554578233537,0.16201066034553405
107,27.875759358717435,0.025678852756483572,0.13374961467883056,0.15942846743531414
108,28.136280380761523,0.02459944800261661,0.13230264471094721,0.1569020927135638
109,28.39680140280561,0.023565011515048598,0.1308650431868142,0.15443005470186277
110,28.6573224248497,0.02257372846288681,0.12943718258139678,0.15201091104428358
111,28.917843446893787,0.02162384774528265,0.12801940379690754,0.1496432515421902
112,29.178364468937875,0.020713685002116042,0.12661201795362284,0.14732570295573888
113,29.438885490981963,0.01984161983960451,0.12521530747630416,0.14505692731590866
114,29.69940651302605,0.01900609465723289,0.12382952894046094,0.14283562359769383
115,29.95992753507014,0.01820561038741741,0.12245491405207982,0.14066052443949723
116,30.220448557114228,0.017438723292864312,0.12109167016043389,0.1385303934532982
117,30.480969579158316,0.016704051207605968,0.11973998380874099,0.13644403501634694
118,30.741490601202404,0.016000262251510713,0.11840001991504581,0.13440028216655653
119,31.002011623246492,0.015326077518351947,0.11707192430873228,0.13239800182708422
120,31.26253264529058,0.014680270485998147,0.1157558265859641,0.13043609707196224
121,31.52305366733467,0.014061659404807478,0.11445183549899142,0.1285134949037989
122,31.783574689378757,0.013469115616602113,0.11316004608958985,0.12662916170619196
123,32.04409571142285,0.012901548176951418,0.11188053926114595,0.12478208743809738
124,32.304616733466936,0.012357917683294008,0.1106133793970201,0.1229712970803141
